ack__advertisement__content_right_owner__network_id	bigint			
ack__advertisement__content_right_owner__up_network_id	bigint			
ack__advertisement__content_right_owner__down_network_id	bigint			
ack__advertisement__content_right_owner__revenue	double			
ack__advertisement__content_right_owner__up_revenue	double			
ack__advertisement__content_right_owner__down_revenue	double			
ack__advertisement__content_right_owner__up_revenue_as_content_owner	double			
ack__advertisement__content_right_owner__inventory_id	bigint			
ack__advertisement__content_right_owner__rule_id	bigint			
ack__advertisement__content_right_owner__competition_resellers	integer			
ack__advertisement__content_right_owner__context_id	bigint			
ack__advertisement__content_right_owner__rule_ext_id	bigint			
ack__advertisement__content_right_owner__rule_flags	bigint			
ack__advertisement__content_right_owner__root_asset_id	bigint			
ack__advertisement__content_right_owner__root_section_id	bigint			
ack__advertisement__content_right_owner__root_asset_group	array(bigint)			
ack__advertisement__content_right_owner__root_section_group	array(bigint)			
ack__advertisement__content_right_owner__asset_group_id	array(bigint)			
ack__advertisement__content_right_owner__series_id	bigint			
ack__advertisement__content_right_owner__flags	bigint			
ack__advertisement__content_right_owner__site_id	bigint			
ack__advertisement__distributor	array(varchar)			
ack__advertisement__distributor__network_id	array(bigint)			
ack__advertisement__distributor__up_network_id	array(bigint)			
ack__advertisement__distributor__down_network_id	array(bigint)			
ack__advertisement__distributor__revenue	array(double)			
ack__advertisement__distributor__up_revenue	array(double)			
ack__advertisement__distributor__down_revenue	array(double)			
ack__advertisement__distributor__up_revenue_as_content_owner	array(double)			
ack__advertisement__distributor__inventory_id	array(bigint)			
ack__advertisement__distributor__rule_id	array(bigint)			
ack__advertisement__distributor__competition_resellers	array(integer)			
ack__advertisement__distributor__context_id	array(bigint)			
ack__advertisement__distributor__rule_ext_id	array(bigint)			
ack__advertisement__distributor__rule_flags	array(bigint)			
ack__advertisement__distributor__root_asset_id	array(bigint)			
ack__advertisement__distributor__root_section_id	array(bigint)			
ack__advertisement__distributor__root_asset_group	array(bigint)			
ack__advertisement__distributor__root_section_group	array(bigint)			
ack__advertisement__distributor__asset_group_id	array(bigint)			
ack__advertisement__distributor__series_id	array(bigint)			
ack__advertisement__distributor__flags	array(bigint)			
ack__advertisement__distributor__site_id	array(bigint)			
ack__advertisement__content_owner	array(varchar)			
ack__advertisement__content_owner__network_id	array(bigint)			
ack__advertisement__content_owner__up_network_id	array(bigint)			
ack__advertisement__content_owner__down_network_id	array(bigint)			
ack__advertisement__content_owner__revenue	array(double)			
ack__advertisement__content_owner__up_revenue	array(double)			
ack__advertisement__content_owner__down_revenue	array(double)			
ack__advertisement__content_owner__up_revenue_as_content_owner	array(double)			
ack__advertisement__content_owner__inventory_id	array(bigint)			
ack__advertisement__content_owner__rule_id	array(bigint)			
ack__advertisement__content_owner__competition_resellers	array(integer)			
ack__advertisement__content_owner__context_id	array(bigint)			
ack__advertisement__content_owner__rule_ext_id	array(bigint)			
ack__advertisement__content_owner__rule_flags	array(bigint)			
ack__advertisement__content_owner__root_asset_id	array(bigint)			
ack__advertisement__content_owner__root_section_id	array(bigint)			
ack__advertisement__content_owner__root_asset_group	array(bigint)			
ack__advertisement__content_owner__root_section_group	array(bigint)			
ack__advertisement__content_owner__asset_group_id	array(bigint)			
